library name,text,rodata,data,bss,code,flash,ram
lib\libhal.a,23510,2237,877,2385,25747,26624,3262
lib\libkernel.a,14012,492,28,93002,14504,14532,93030
lib\libaudio.a,25068,758,624,41487,25826,26450,42111
lib\libdriver.a,68686,3420,1220,9852,72106,73326,11072
lib\libdriver_core_V2.a,4726,9,0,44,4735,4735,44
lib\modem_lte_lib.a,531900,27668,4090,98400,559568,563658,102490
..\..\components\newlib\newlib-3.1.0\armca5\libc.a,40846,2817,1534,47,43663,45197,1581
..\..\components\ql-kernel\libs\liboql_api_audio.a,11096,2658,16,165,13754,13770,181
..\..\components\ql-kernel\libs\liboql_api_power.a,4450,919,56,41,5369,5425,97
..\..\components\ql-kernel\libs\liboql_hd_gnss.a,1538,379,8,0,1917,1925,8
..\..\components\ql-kernel\libs\libq_modem.a,2252,716,0,48,2968,2968,48
..\..\components\ql-kernel\libs\libq_usbnet.a,2564,694,61,16,3258,3319,77
..\..\components\ql-kernel\libs\libql_api_adc.a,400,45,2,0,445,447,2
..\..\components\ql-kernel\libs\libql_api_camera.a,2900,573,0,28,3473,3473,28
..\..\components\ql-kernel\libs\libql_api_common.a,682,114,1,113,796,797,114
..\..\components\ql-kernel\libs\libql_api_datacall.a,16592,3507,182,1666,20099,20281,1848
..\..\components\ql-kernel\libs\libql_api_dev.a,2152,458,11,4,2610,2621,15
..\..\components\ql-kernel\libs\libql_api_fota.a,3608,1091,2,0,4699,4701,2
..\..\components\ql-kernel\libs\libql_api_fs.a,10812,1998,200,24,12810,13010,224
..\..\components\ql-kernel\libs\libql_api_ftp.a,7656,800,12,0,8456,8468,12
..\..\components\ql-kernel\libs\libql_api_gpio.a,3564,383,0,384,3947,3947,384
..\..\components\ql-kernel\libs\libql_api_http.a,2884,210,0,4,3094,3094,4
..\..\components\ql-kernel\libs\libql_api_i2c.a,1472,109,36,0,1581,1617,36
..\..\components\ql-kernel\libs\libql_api_keypad.a,492,100,36,0,592,628,36
..\..\components\ql-kernel\libs\libql_api_lcd.a,4608,304,5,10,4912,4917,15
..\..\components\ql-kernel\libs\libql_api_mqtt.a,3636,266,0,24,3902,3902,24
..\..\components\ql-kernel\libs\libql_api_nvitem.a,1232,292,0,0,1524,1524,0
..\..\components\ql-kernel\libs\libql_api_nw.a,25742,8856,595,2370,34598,35193,2965
